1977,811
407,159
300,121
289,93
262,67
105,99
191,108
148,165
114,162
239,70
111,68
105,42
142,192
60,76
77,28
56,79
89,61
145,21
18,60
121,35
39,21
75,102
0,84
63,26
14,26
44,0
53,54
36,70
91,14
60,112
86,54
46,14
42,21
53,46
91,56
75,56
65,85
35,21
106,21
21,18
93,47
85,14
70,21
42,12
71,63
14,28
33,56
84,60
35,21
35,39
42,21
57,21
74,54
12,49
18,57
14,61
40,53
28,14
91,60
70,21
47,70
39,32
56,56
68,21
21,49
96,47
144,70
35,21
32,12
0,74
35,14
21,35
39,21
21,0
40,56
108,74
77,14
39,32
103,91
108,12
56,21
82,35
67,123
75,113
18,51
77,95
78,32
18,92
44,105
63,12
109,84
110,84
56,203
119,168
49,143
110,225
81,217
161,134
89,152
84,207
140,126
65,178
127,159
91,169
98,275
63,152
115,144
99,194
98,103
109,259
35,74
104,81
42,46
33,68
124,71
97,47
40,61
137,0
33,21
97,40
124,67
126,100
91,70
49,77
95,82
39,114
42,70
89,116
47,56
99,68
70,72
134,81
89,21
21,126
68,109
74,98
61,164
49,32
81,120
110,122
18,35
40,74
47,110
106,18
77,89
33,60
60,63
72,12
81,109
40,99
72,60
67,72
63,21
117,65
107,104
79,51
126,96
119,77
74,14
60,81
42,101
117,21
63,123
72,42
14,65
133,44
32,14
35,106
56,39
91,21
33,63
102,88
47,110
77,84
40,67
70,105
0,91
53,81
44,115
70,0
35,96
40,14
42,77
42,75
71,21
12,68
39,56
67,35
98,82
30,70
42,42
33,78
51,52
77,60
38,71
74,116
32,84
46,73
117,28
117,14
63,70
21,40
116,35
26,79
93,77
65,109
67,42
108,123
134,107
82,116
65,99
63,42
74,49
99,92
116,52
83,169
189,84
81,110
191,51
14,110
85,12
92,14
21,116
77,156
95,102
99,105
112,40
209,21
170,119
149,35
150,35
153,98
155,63
0,73
103,141
137,136
98,147
112,124
224,185
91,156
242,193
404,271
491,266
221,320
175,349
573,413
505,434
555,798
845,725
847,988
1132,1249
1213,1405
1188,1406
1487,1970
2195,1801
32590,34192
1977,811
407,159
300,121
289,93
262,67
105,99
191,108
148,165
114,162
239,70
111,68
105,42
142,192
60,76
77,28
56,79
89,61
145,21
18,60
121,35
39,21
75,102
0,84
63,26
14,26
44,0
53,54
36,70
91,14
60,112
86,54
46,14
42,21
53,46
91,56
75,56
65,85
35,21
106,21
21,18
93,47
85,14
70,21
42,12
71,63
14,28
33,56
84,60
35,21
35,39
42,21
57,21
74,54
12,49
18,57
14,61
40,53
28,14
91,60
70,21
47,70
39,32
56,56
68,21
21,49
96,47
144,70
35,21
32,12
0,74
35,14
21,35
39,21
21,0
40,56
108,74
77,14
39,32
103,91
108,12
56,21
82,35
67,123
75,113
18,51
77,95
78,32
18,92
44,105
63,12
109,84
110,84
56,203
119,168
49,143
110,225
81,217
161,134
89,152
84,207
140,126
65,178
127,159
91,169
98,275
63,152
115,144
99,194
98,103
109,259
35,74
104,81
42,46
33,68
124,71
97,47
40,61
137,0
33,21
97,40
124,67
126,100
91,70
49,77
95,82
39,114
42,70
89,116
47,56
99,68
70,72
134,81
89,21
21,126
68,109
74,98
61,164
49,32
81,120
110,122
18,35
40,74
47,110
106,18
77,89
33,60
60,63
72,12
81,109
40,99
72,60
67,72
63,21
117,65
107,104
79,51
126,96
119,77
74,14
60,81
42,101
117,21
63,123
72,42
14,65
133,44
32,14
35,106
56,39
91,21
33,63
102,88
47,110
77,84
40,67
70,105
0,91
53,81
44,115
70,0
35,96
40,14
42,77
42,75
71,21
12,68
39,56
67,35
98,82
30,70
42,42
33,78
51,52
77,60
38,71
74,116
32,84
46,73
117,28
117,14
63,70
21,40
116,35
26,79
93,77
65,109
67,42
108,123
134,107
82,116
65,99
63,42
74,49
99,92
116,52
83,169
189,84
81,110
191,51
14,110
85,12
92,14
21,116
77,156
95,102
99,105
112,40
209,21
170,119
149,35
150,35
153,98
155,63
0,73
103,141
137,136
98,147
112,124
224,185
91,156
242,193
404,271
491,266
221,320
175,349
573,413
505,434
555,798
845,725
847,988
1132,1249
1213,1405
1188,1406
1487,1970
2195,1801
32590,34192
1977,811
407,159
300,121
289,93
262,67
105,99
191,108
148,165
114,162
239,70
111,68
105,42
142,192
60,76
77,28
56,79
89,61
145,21
18,60
121,35
39,21
75,102
0,84
63,26
14,26
44,0
53,54
36,70
91,14
60,112
86,54
46,14
42,21
53,46
91,56
75,56
65,85
35,21
106,21
21,18
93,47
85,14
70,21
42,12
71,63
14,28
33,56
84,60
35,21
35,39
42,21
57,21
74,54
12,49
18,57
14,61
40,53
28,14
91,60
70,21
47,70
39,32
56,56
68,21
21,49
96,47
144,70
35,21
32,12
0,74
35,14
21,35
39,21
21,0
40,56
108,74
77,14
39,32
103,91
108,12
56,21
82,35
67,123
75,113
18,51
77,95
78,32
18,92
44,105
63,12
109,84
110,84
56,203
119,168
49,143
110,225
81,217
161,134
89,152
84,207
140,126
65,178
127,159
91,169
98,275
63,152
115,144
99,194
98,103
109,259
35,74
104,81
42,46
33,68
124,71
97,47
40,61
137,0
33,21
97,40
124,67
126,100
91,70
49,77
95,82
39,114
42,70
89,116
47,56
99,68
70,72
134,81
89,21
21,126
68,109
74,98
61,164
49,32
81,120
110,122
18,35
40,74
47,110
106,18
77,89
33,60
60,63
72,12
81,109
40,99
72,60
67,72
63,21
117,65
107,104
79,51
126,96
119,77
74,14
60,81
42,101
117,21
63,123
72,42
14,65
133,44
32,14
35,106
56,39
91,21
33,63
102,88
47,110
77,84
40,67
70,105
0,91
53,81
44,115
70,0
35,96
40,14
42,77
42,75
71,21
12,68
39,56
67,35
98,82
30,70
42,42
33,78
51,52
77,60
38,71
74,116
32,84
46,73
117,28
117,14
63,70
21,40
116,35
26,79
93,77
65,109
67,42
108,123
134,107
82,116
65,99
63,42
74,49
99,92
116,52
83,169
189,84
81,110
191,51
14,110
85,12
92,14
21,116
77,156
95,102
99,105
112,40
209,21
170,119
149,35
150,35
153,98
155,63
0,73
103,141
137,136
98,147
112,124
224,185
91,156
242,193
404,271
491,266
221,320
175,349
573,413
505,434
555,798
845,725
847,988
1132,1249
1213,1405
1188,1406
1487,1970
2195,1801
32590,34192
